Player,Player_ID,Team,Injury Description,Body Part,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable
C.J. Anderson,CA-0750,Denver Broncos,meniscus tear,knee,Medium Severity,Week 7,2016,1,1,Arthroscopic Knee Surgery,1-3 weeks
Ben Roethlisberger,BR-1100,Pittsburgh Steelers,meniscus tear,knee,Medium Severity,Week 6,2016,1,2,Meniscectomy,1-3 weeks
Teddy Bridgewater,TB-2650,Minnesota Vikings,ACL tear & knee dislocation,knee,High Severity,Preseason,2016,16,16,Knee Reconstruction Surgery,10-12 months
Adrian Peterson,AP-0700,Minnesota Vikings,meniscus tear,knee,High Severity,Week 2,2016,11,11,Meniscus Repair Surgery,2-3 months
Trevor Siemian,TS-1450,Denver Broncos,labrum tear,shoulder,Medium Severity,Week 17,2016,0,0,Shoulder Surgery,2-3 months
Kellen Davis,KD-0400,New York Jets,thumb ligament tear,thumb,Medium Severity,Preseason,2016,0,0,Thumb Surgery,2-4 weeks
Mark Sanchez,MS-0100,Dallas Cowboys,thumb ligament tear,thumb,Medium Severity,Preseason,2016,0,0,Thumb Surgery,2-4 weeks
Kellen Moore,KM-2560,Dallas Cowboys,ankle fracture,ankle,High Severity,Preseason,2016,16,16,Ankle Surgery,3-4 months
Jaelen Strong,JS-7075,Houston Texans,ankle sprain,ankle,High Severity,Week 8,2016,8,8,Ankle Surgery,3-4 months
Maxx Williams,MW-2450,Baltimore Ravens,knee cartilage tear,knee,High Severity,Week 4,2016,12,12,Arthroscopic Knee Surgery,3-4 months
Rob Gronkowski,RG-2200,New England Patriots,herniated disc,back,High Severity,Week 12,2016,5,5,Back Discectomy,3-4 months
Darren McFadden,DM-1600,Dallas Cowboys,elbow fracture,elbow,High Severity,Preseason,2016,13,13,Elbow Surgery,3-4 months
Marquess Wilson,MW-3250,Chicago Bears,foot fracture,foot,High Severity,Preseason,2016,9,10,Foot Surgery,3-4 months
Marquess Wilson,MW-3250,Chicago Bears,foot fracture,foot,High Severity,Week 14,2016,3,3,Foot Surgery,3-4 months
Zach Miller,ZM-0250,Chicago Bears,foot fracture,foot,High Severity,Week 11,2016,6,6,Foot Surgery,3-4 months
Ryan Mathews,RM-1200,Philadelphia Eagles,herniated disc,back,High Severity,Week 16,2016,1,1,Neck Surgery,3-4 months
Josh Hill,JH-4070,New Orleans Saints,ankle fracture,ankle,High Severity,Week 13,2016,4,4,Ankle Surgery,3-5 months
Tyler Eifert,TE-0300,Cincinnati Bengals,ankle ligament tear,ankle,High Severity,Preseason,2016,4,4,Ankle Surgery,3-5 months
Ameer Abdullah,AA-0025,Detroit Lions,foot sprain,foot,High Severity,Week 2,2016,14,14,Lisfranc Foot Surgery,3-5 months
Devin Fuller,DF-2150,Atlanta Falcons,shoulder sprain,shoulder,High Severity,Preseason,2016,16,16,Shoulder Surgery,3-5 months
Javontee Herndon,JH-3450,San Diego Chargers,knee sprain,knee,High Severity,Preseason,2016,16,16,Arthroscopic Knee Surgery,3-6 months
Cooper Helfet,CH-2350,,foot fracture,foot,High Severity,Preseason,2016,16,16,Foot Surgery,3-6 months
Steve Johnson,SJ-0600,San Diego Chargers,meniscus tear,knee,High Severity,Preseason,2016,16,16,Meniscus Repair Surgery,3-6 months
